Input,Loss,MAE,MAPE,ME,R2 score,RMSE,Shift
8,0.0005116096581332386,0.9403875683177486,2.487702144819309,20.06619633443708,0.99713082521432,1.5182982580462006,2
9,0.00041711406083777547,0.8996946878741049,2.3586224098082154,20.41779513156291,0.9972683915993038,1.4812048750939806,2
10,0.0005036788643337786,0.9297924322606405,2.474388586290996,19.613731498853866,0.9972037538960172,1.4985755124157745,2
11,0.0004663148138206452,0.9269273122575649,2.424706293300304,20.486300348303445,0.9970848301641435,1.529842842613101,2
12,0.00041914117173291743,0.9047745476694518,2.3579484981901997,20.532030544278044,0.9971359055904412,1.51611273521616,2
13,0.00040243883267976344,0.8952345152102359,2.3348917491397647,20.321170484748848,0.997264837383128,1.4813300375170018,2
14,0.0003646116820164025,0.8648245508666607,2.2801886023805946,20.121439051841378,0.9975171367150562,1.4111026489037686,2
4,0.0006520975730381906,1.0103145774315963,2.652104069775146,20.98995966554662,0.9966710627332047,1.6362353058108123,3
5,0.0006994180148467422,1.0355018514806893,2.7076842246079336,21.197437150856246,0.996447252741602,1.6900659717423623,3
6,0.0006926846690475941,1.0335823326470077,2.698311034011153,21.133413600212464,0.996430909191282,1.693669749900117,3
7,0.0008463537669740617,1.1128344066450326,2.8890997073780014,20.993262450467142,0.995994002822318,1.7940473885463182,3
8,0.0008558707195334136,1.114692014680516,2.882238176064404,21.945549279087714,0.995642484668018,1.8707914434007504,3
9,0.0006782224518246949,1.021544823323129,2.686305236525357,21.231582556542932,0.9965546618985397,1.6634389222675765,3
10,0.0007268336485140026,1.0403905279497023,2.7483926605320628,20.461293021867675,0.996511761306827,1.6734702102684562,3
11,0.0006666412809863687,1.0187246190428707,2.6698843175804274,21.228645984727507,0.996520492016148,1.6710781076538848,3
12,0.0007236757082864642,1.0428889825745495,2.7383050799879842,21.37903092775936,0.9964237530543754,1.6938463132633557,3
13,0.000739154638722539,1.050823721364474,2.7612461814121985,20.88701941529905,0.9964414276293485,1.6893518243170855,3
14,0.0006937056896276772,1.0313210357574256,2.7028520379636096,21.212617598714488,0.9964513863693094,1.6868917184992493,3
4,0.0009721322567202151,1.149740208510785,3.0123556823739186,20.611956824509477,0.9957722601316855,1.8436379103854734,4
5,0.001070312806405127,1.1836064934163844,3.1240635493673072,21.24412997990912,0.9955021799260084,1.9013014134160766,4
6,0.0010619941167533398,1.1895033048760424,3.1171660929008955,21.67934874984961,0.9954531965049022,1.9113124271243325,4
7,0.0010447466047480702,1.18465626101014,3.1008413230183276,21.21648365087421,0.9955293924242649,1.8949126184092526,4
8,0.0012253271415829659,1.2565190062286318,3.2770457055197557,22.189998252271153,0.9946872298755893,2.0656248433062383,4
9,0.0012538640294224024,1.2699828933337545,3.3191948915380727,21.116460026720972,0.9948313698553568,2.0370543494133493,4
10,0.0011290066177025437,1.2134977677501728,3.1912815311009104,20.79209642137873,0.9952878026694919,1.9446863482816097,4
11,0.0008678415906615555,1.1024004056799703,2.880464228982126,20.901799447561686,0.9960037775879114,1.7905443347548744,4
12,0.0010461239144206047,1.1842264502045328,3.0968131567295716,21.54720167254878,0.9954237245254172,1.9157475711736403,4
13,0.0010382423643022776,1.1816600776040598,3.0885837713720594,21.756417526597005,0.9954305883417475,1.9142029916727221,4
14,0.001003761775791645,1.1637065711933003,3.056180478420716,21.492678578085034,0.9956431361679152,1.868822888369005,4
